53433	Halanaerobiales
9397	Chiroptera
69277	Phyllobacteriaceae
4751	Fungi
200940	Thermodesulfobacteria
104264	Cellulophaga
10860	Inoviridae
119089	Chromadorea
301297	Dehalococcoidia
252356	Maribacter
90964	Staphylococcaceae
326457	unclassified Verrucomicrobia
29547	Epsilonproteobacteria
147550	Sordariomycetes
255475	Aurantimonadaceae
506	Alcaligenaceae
1212	Prochloraceae
31979	Clostridiaceae
468	Moraxellaceae
46205	Pseudobutyrivibrio
191028	Leisingera
4447	Liliopsida
1164882	Lachnoanaerobaculum
5653	Kinetoplastida
544448	Tenericutes
85012	Streptosporangiales
326319	Dokdonia
81850	Leuconostocaceae
81852	Enterococcaceae
28211	Alphaproteobacteria
11632	Retroviridae
33183	Onygenales
68298	Syntrophomonadaceae
119065	unclassified Burkholderiales
119066	unclassified Betaproteobacteria
119060	Burkholderiaceae
203494	Verrucomicrobiae
119069	Hydrogenophilales
110618	Nectriaceae
59732	Chryseobacterium
142182	Gemmatimonadetes
150247	Anoxybacillus
35493	Streptophyta
5204	Basidiomycota
5878	Ciliophora
213462	Syntrophobacterales
451866	Taphrinomycotina
451867	Dothideomycetidae
183967	Thermoplasmata
183963	Halobacteria
766	Rickettsiales
183968	Thermococci
75682	Oxalobacteraceae
3041	Chlorophyta
265975	Oribacterium
2323	unclassified Bacteria
508458	Synergistetes
5809	Sarcocystidae
69541	Desulfuromonadales
52018	unclassified Actinobacteria (class)
1090	Chlorobi
1150	Oscillatoriales
265	Paracoccus
7898	Actinopterygii
68525	delta/epsilon subdivisions
72273	Thiotrichales
203691	Spirochaetes
72275	Alteromonadaceae
4893	Saccharomycetaceae
4891	Saccharomycetes
4890	Ascomycota
35718	Chaetomiaceae
186804	Peptostreptococcaceae
34037	Rahnella
1570339	Peptoniphilaceae
355688	Agaricomycetes incertae sedis
246874	Cryomorphaceae
35268	Retro-transcribing viruses
91835	fabids
204432	Acidobacteriia
5129	Hypocreaceae
5125	Hypocreales
8459	Testudines
639021	Magnaporthales
363408	Nonlabens
53335	Pantoea
213118	Desulfobacterales
1506553	Lachnoclostridium
213115	Desulfovibrionales
213113	Desulfurellales
9263	Metatheria
80864	Comamonadaceae
183925	Methanobacteria
5338	Agaricales
135618	Methylococcales
283735	Leeuwenhoekiella
5234	Tremellales
5151	Ophiostomatales
5863	Piroplasmida
561	Escherichia
189330	Dorea
186828	Carnobacteriaceae
186821	Sporolactobacillaceae
186820	Listeriaceae
186823	Alicyclobacillaceae
186822	Paenibacillaceae
32066	Fusobacteria
186824	Thermoactinomycetaceae
186827	Aerococcaceae
29000	Pucciniomycotina
1189	Stigonemataceae
7088	Lepidoptera
122277	Pectobacterium
147541	Dothideomycetes
147545	Eurotiomycetes
147548	Leotiomycetes
97050	Ruegeria
1283313	Alloprevotella
1161	Nostocales
2433	Roseobacter
171551	Porphyromonadaceae
171550	Rikenellaceae
335928	Xanthobacteraceae
40674	Mammalia
244698	Gillisia
74201	Verrucomicrobia
1117	Cyanobacteria
1297	Deinococcus-Thermus
1511857	Ligamenvirales
9604	Hominidae
1357	Lactococcus
35301	ssRNA negative-strand viruses
52604	Pleurocapsales
5042	Eurotiales
4776	Peronosporales
204457	Sphingomonadales
538999	Clostridiales incertae sedis
204458	Caulobacterales
7742	Vertebrata
6236	Rhabditida
6231	Nematoda
